,POP,O+,A+,B+,AB+,O-,A-,B-,AB-,Covid
Argentina,44938712,0.454,0.343,0.086,0.026,0.084,0.004,0.002,0.001,992
Armenia,2957500,0.29,0.463,0.12,0.056,0.02,0.037,0.01,0.004,350
Australia,25699280,0.4,0.31,0.08,0.02,0.09,0.07,0.02,0.01,102
Austria,8902600,0.3,0.33,0.12,0.06,0.07,0.08,0.03,0.01,688
Bahrain,1543300,0.485,0.194,0.226,0.037,0.033,0.013,0.01,0.003,63
Bangladesh,168557578,0.312,0.214,0.346,0.089,0.014,0.01,0.01,0.006,1464
Belgium,11524454,0.38,0.34,0.085,0.041,0.07,0.06,0.015,0.008,9704
Bolivia,11469896,0.515,0.295,0.101,0.012,0.044,0.027,0.005,0.001,740
Bosnia and Herzegovina,3301000,0.31,0.36,0.12,0.06,0.05,0.07,0.02,0.01,169
Brazil,220892311,0.36,0.34,0.08,0.025,0.09,0.08,0.02,0.005,49976
Bulgaria,6951482,0.28,0.37,0.13,0.07,0.05,0.07,0.02,0.01,199
Cambodia,15288489,0.467,0.272,0.185,0.049,0.013,0.008,0.005,0.001,0.0001
Cameroon,26545864,0.428,0.388,0.12,0.033,0.014,0.012,0.004,0.001,300
Canada,38017693,0.39,0.36,0.076,0.025,0.07,0.06,0.014,0.005,8410
Chile,19107216,0.855,0.087,0.034,0.01,0.012,0.001,0.001,0.001,4479
China,1402509320,0.477,0.278,0.189,0.05,0.003,0.002,0.001,0.0003,4646
Colombia,49395678,0.613,0.261,0.023,0.015,0.051,0.027,0.007,0.003,2126
Croatia,4076246,0.29,0.36,0.15,0.05,0.05,0.06,0.03,0.01,107
Cuba,11209628,0.458,0.335,0.102,0.029,0.036,0.028,0.01,0.002,85
Denmark,5822763,0.35,0.37,0.08,0.04,0.06,0.07,0.02,0.01,600
Dominican Republic,10358320,0.462,0.264,0.169,0.031,0.037,0.021,0.014,0.002,662
Ecuador,17479032,0.75,0.14,0.071,0.005,0.024,0.007,0.003,0.0002,4223
Egypt,100336647,0.52,0.24,0.124,0.038,0.05,0.02,0.006,0.002,2193
Estonia,1328360,0.295,0.308,0.207,0.063,0.043,0.045,0.03,0.009,69
Ethiopia,98665000,0.39,0.28,0.21,0.05,0.03,0.02,0.01,0.01,74
Finland,5528390,0.27,0.38,0.15,0.07,0.04,0.06,0.02,0.01,326
France,67075000,0.36,0.37,0.09,0.03,0.06,0.07,0.01,0.01,29565
Germany,83149300,0.35,0.37,0.09,0.04,0.06,0.06,0.02,0.01,8862
Greece,10724599,0.374,0.329,0.11,0.037,0.07,0.05,0.02,0.01,190
Guinea,12218357,0.469,0.216,0.229,0.045,0.02,0.009,0.01,0.002,27
Honduras,9158345,0.575,0.27,0.078,0.025,0.027,0.017,0.006,0.002,358
Hungary,9772756,0.27,0.33,0.16,0.08,0.05,0.07,0.03,0.01,570
Iceland,366130,0.476,0.264,0.093,0.016,0.084,0.046,0.017,0.004,10
India,1361865555,0.279,0.208,0.381,0.089,0.014,0.006,0.018,0.005,13699
Indonesia,266911900,0.368,0.259,0.289,0.08,0.002,0.001,0.002,0.0004,2465
Iran,83421094,0.335,0.27,0.222,0.07,0.04,0.03,0.025,0.008,9623
