,Pop.,O+,A+,B+,AB+,O-,A-,B-,AB-,Covid
Argentina,44270440,20098779.76,15167052.74,3802830.8,1168739.62,3718716.96,194789.94,92967.92,26562.26,992
Armenia,2931568,850154.72,1357315.98,351788.16,164167.81,58631.36,108468.02,29315.68,11726.27,350
Australia,24642693,9857077.2,7639234.83,1971415.44,492853.86,2217842.37,1724988.51,492853.86,246426.93,102
Austria,8592470,2577741,2835515.1,1031096.4,515548.2,601472.9,687397.6,257774.1,85924.7,688
Bahrain,1418695,687783.34,274517.48,320766.94,52066.11,46391.33,18868.64,14754.43,3546.74,63
Bangladesh,164833667,51395137.37,35340338.2,56999482.05,14587779.53,2291187.97,1582403.2,1582403.2,1054935.47,1464
Belgium,10414336,3957447,3540874,885219,426988,729004,624860,156215,83315,9704
Bolivia,11053376,5695804.65,3255219.23,1117496.31,127113.82,485243.21,301757.16,59688.23,11053.38,740
Bosnia and Herzegovina,3792730,1175746.3,1365382.8,455127.6,227563.8,189636.5,265491.1,75854.6,37927.3,169
Brazil,211248418,76049430.48,71824462.12,16899873.44,5281210.45,19012357.62,16899873.44,4224968.36,1056242.09,49976
Bulgaria,7045097,1972627.16,2606685.89,915862.61,493156.79,352254.85,493156.79,140901.94,70450.97,199
Cambodia,16077172,7508039.32,4372990.78,2974276.82,787781.43,209003.24,128617.38,80385.86,16077.17,0
Cameroon,24515533,10492648.12,9512026.8,2941863.96,809012.59,343217.46,294186.4,98062.13,24515.53,300
Canada,36627140,14284584.6,13185770.4,2783662.64,915678.5,2563899.8,2197628.4,512779.96,183135.7,8410
Chile,18314060,15658521.3,1593323.22,613521.01,183140.6,219768.72,18314.06,9157.03,18314.06,4479
China,1388251023,662195737.97,385933784.39,262379443.35,69412551.15,3887102.86,2637676.94,1388251.02,416475.31,4646
Colombia,49069267,30079460.67,12811985.61,1118779.29,721318.22,2517253.4,1324870.21,343484.87,152114.73,2126
Croatia,4207355,1220132.95,1514647.8,631103.25,210367.75,210367.75,252441.3,126220.65,42073.55,107
Cuba,11486750,5260931.5,3848061.25,1171648.5,333115.75,413523,321629,114867.5,22973.5,85
Denmark,5711902,1999165.7,2113403.74,456952.16,228476.08,342714.12,399833.14,114238.04,57119.02,600
Dominican Republic,10766932,4974322.58,2842470.05,1819611.51,333774.89,398376.48,226105.57,150737.05,21533.86,662
Ecuador,16665756,12499317,2333205.84,1183268.68,83328.78,396644.99,116660.29,49997.27,3333.15,4223
Egypt,95220838,49514835.76,22853001.12,11807383.91,3618391.84,4761041.9,1904416.76,571325.03,190441.68,2193
Estonia,1305745,385194.78,402169.46,270289.22,82261.94,56147.04,58758.53,39172.35,11751.71,69
Ethiopia,104352727,40697563.53,29218763.56,21914072.67,5217636.35,3130581.81,2087054.54,1043527.27,1043527.27,74
Finland,5541328,1496158.56,2105704.64,831199.2,387892.96,221653.12,332479.68,110826.56,55413.28,326
France,64939560,23378241.6,24027637.2,5844560.4,1948186.8,3896373.6,4545769.2,649395.6,649395.6,29565
Germany,80635980,28222593,29835312.6,7257238.2,3225439.2,4838158.8,4838158.8,1612719.6,806359.8,8862
Greece,10892849,4073925.53,3583747.32,1198213.39,403035.41,762499.43,544642.45,217856.98,108928.49,190
Guinea,13291741,6231168.18,2876332.75,3038491.99,600786.69,265834.82,119625.67,132917.41,26583.48,27
Honduras,9348898,5375616.35,2524202.46,729214.04,233722.45,252420.25,158931.27,56093.39,18697.8,358
Hungary,9787801,2642706.27,3229974.33,1566048.16,783024.08,489390.05,685146.07,293634.03,97878.01,570
Iceland,334311,159132.04,88258.1,31090.92,5348.98,28082.12,15378.31,5683.29,1337.24,10
India,1342561902,373903489.71,279252875.62,512053109.42,119890777.85,19198635.2,7652602.84,24031858.05,6578553.32,13699
Indonesia,263519317,97027812.52,68172447.31,76025322.95,20976137.63,474334.77,342575.11,395278.98,105407.73,2465
Iran,80982137,27129015.9,21865176.99,17978034.41,5668749.59,3239285.48,2429464.11,2024553.43,647857.1,9623
Iraq,38657787,12409149.63,9664446.75,9896393.47,2860676.24,1391680.33,1043760.25,1043760.25,347920.08,1100
Ireland,4749263,2232153.61,1234808.38,427433.67,94985.26,379941.04,237463.15,94985.26,47492.63,1715
Israel,8323659,2663570.88,2830044.06,1415022.03,582656.13,249709.77,332946.36,166473.18,83236.59,305
Italy,59797969,23321207.91,21527268.84,4484847.68,1494949.23,4185857.83,3587878.14,896969.54,298989.85,34610
Jamaica,2813316,1322258.52,647062.68,562663.2,84399.48,98466.06,56266.32,28133.16,14066.58,10
Japan,126044340,37687257.66,50165647.32,25082823.66,12478389.66,189066.51,252088.68,126044.34,63022.17,953
Kenya,48470780,22102675.68,12214636.56,10314581.98,2035772.76,872474.04,484707.8,436237.02,9694.16,123
Latvia,1944122,594901.33,602677.82,330500.74,116647.32,104982.59,116647.32,58323.66,19441.22,30
Lebanon,6039438,2319144.19,1950738.47,573746.61,193262.02,465036.73,392563.47,102670.45,42276.07,32
Libya,6408990,2732793.34,1849634.51,717165.98,288404.55,401202.77,271741.18,105107.44,42940.23,10
Lithuania,2827573,1017926.28,933099.09,311033.03,113102.92,197930.11,169654.38,56551.46,28275.73,76
Luxembourg,587297,205553.95,217299.89,52856.73,23491.88,35237.82,35237.82,11745.94,5872.97,110
Macedonia,2083690,625107,708454.6,312553.5,125021.4,104184.5,125021.4,62510.7,20836.9,233
Malaysia,31165480,10695992.74,9458723.18,8529991.88,2324944.81,52981.32,46748.22,43631.67,12466.19,121
Mauritania,4266765,1975512.2,1138372.9,745403.85,164270.45,119469.42,68268.24,46934.42,8533.53,108
Mauritius,1267303,485377.05,329498.78,316825.75,84909.3,21544.15,12673.03,12673.03,3801.91,10
Mexico,130227836,72654109.7,38938122.96,10418226.88,2122713.73,3516151.57,1953417.54,520911.34,104182.27,20781
Mongolia,3052044,1690832.38,845416.19,332672.8,151381.38,18312.26,9156.13,3052.04,1220.82,0
Myanmar,53507932,19102331.72,12734887.82,17497093.76,3718801.27,160523.8,107015.86,160523.8,26753.97,6
Nepal,29188100,10274211.2,8260232.3,7909975.1,2510176.6,87564.3,58376.2,58376.2,29188.1,23
Netherlands,17033012,6728039.74,5961554.2,1141211.8,425825.3,1277475.9,1192310.84,221429.16,85165.06,6090
New Zealand,4604996,1749898.48,1473598.72,414449.64,138149.88,414449.64,276299.76,92099.92,46049.96,22
Nigeria,191851411,98419773.84,42974716.06,39713242.08,4988136.69,3069622.58,1342959.88,1151108.47,191851.41,518
Norway,5330986,1759225.38,2212359.19,362507.05,181253.52,319859.16,399823.95,63971.83,31985.92,244
Pakistan,180440005,44442373.23,37170641.03,62071361.72,17177888.48,7524348.21,4799704.13,6441708.18,811980.02,3590
Papua New Guinea,7952511,3817205.28,2958334.09,763441.06,222670.31,79525.11,63620.09,31810.04,15905.02,0
Peru,32167717,22517401.9,5918859.93,2509081.93,514683.47,450348.04,160838.59,90069.61,6433.54,7861
Philippines,103801747,38302844.64,29998704.88,27922669.94,7234981.77,103801.75,103801.75,103801.75,31140.52,1169
Poland,38563480,11954678.8,12340313.6,5784522,2699443.6,2313808.8,2313808.8,771269.6,385634.8,1356
Portugal,10264672,3726075.94,4105868.8,677468.35,297675.49,615880.32,677468.35,112911.39,51323.36,1530
Moldova,4043722,1152460.77,1285903.6,711695.07,283060.54,202186.1,242623.32,121311.66,44480.94,475
Romania,19237087,5386384.36,7117722.19,2693192.18,1346596.09,961854.35,1154225.22,384741.74,192370.87,1512
Russia,143374801,40144944.28,43012440.3,28674960.2,10036236.07,7025365.25,8315738.46,4587993.63,1577122.81,8206
Saudi Arabia,32744532,15651886.3,7825943.15,5566570.44,1309781.28,1309781.28,654890.64,327445.32,98233.6,1267
Serbia,8776827,2801563.18,3096464.57,1105880.2,368626.73,533631.08,589802.77,210643.85,70214.62,261
Singapore,5784819,2522181.08,1382571.74,1411495.84,347089.14,52063.37,40493.73,23139.28,5784.82,26
Slovakia,5432265,1477576.08,1939318.61,831136.55,369394.02,260748.72,342232.7,146671.16,65187.18,28
Slovenia,2071258,642089.98,683515.14,248550.96,124275.48,144988.06,144988.06,62137.74,20712.58,109
South Africa,55437815,21620747.85,17740100.8,6652537.8,1663134.45,3326268.9,2771890.75,1108756.3,554378.15,1930
South Korea,50748307,14158777.65,17188451.58,13661444.24,5572164.11,50748.31,65972.8,40598.65,10149.66,280
Spain,46070163,16585258.68,15663855.42,3685613.04,1151754.08,4146314.67,3685613.04,921403.26,230350.82,28323
Sudan,40827975,19597428,11309349.08,6205852.2,1143183.3,1428979.13,734903.55,326623.8,81655.95,521
Sweden,9920843,3174669.76,3670711.91,992084.3,496042.15,595250.58,694459.01,198416.86,99208.43,5053
Switzerland,8454321,2959012.35,3381728.4,591802.47,253629.63,507259.26,591802.47,84543.21,84543.21,1680
Syria,18920698,8135900.14,5676209.4,2648897.72,700065.83,946034.9,567620.94,189206.98,56762.09,7
Thailand,68298027,27865595.02,11542366.56,25133673.94,3394411.94,136596.05,68298.03,136596.05,20489.41,58
Turkey,80420065,23965179.37,30398784.57,11419649.23,5790244.68,3136382.54,3779743.06,1286721.04,643360.52,4950
